,Unnamed: 0,task_id,pretty_formula,fav,298,400,500,600,700,800,900,first_f_a,relative_w,res_fav,res_favRT
0,0,mp-15788,LiYS2,6.202697961968438,5.83075698057216,5.837646643039856,5.841635018437538,5.844278570455477,5.846159278111652,5.847565676522631,5.8486570902049,0.072376523127942,1.0,2,0
1,1,mp-996962,LiAgO2,10.015853340759245,8.664702059382753,8.701858708943963,8.72325621290089,8.737391716538774,8.74742479325437,8.754914654768925,8.760719349831007,0.072376523127942,1.0,0,1
2,2,mp-23818,BaLiH3,10.604208772059192,9.83412919833922,9.857356091624435,9.87077986992692,9.879667171715058,9.88598450382624,9.890705515837269,9.89436726720186,0.072376523127942,1.0,0,1
3,3,mp-5840,LiScO2,9.78795425903621,7.522110938810169,7.576123909268212,7.607432110486613,7.628196031629614,7.642972936474691,7.654025275463082,7.662603320024431,0.072376523127942,1.0,0,0
4,4,mp-33526,LiBiS2,5.534439425475956,5.222081669195552,5.227303830868663,5.230325989609702,5.232328799827405,5.233753523575486,5.234818866056181,5.235645569992431,0.072376523127942,1.0,2,0
5,5,mp-1020019,Li2PNO2,12.364551384250143,11.045527371988436,11.091525346528217,11.117859295096531,11.135192936695924,11.147465319373042,11.156610153267875,11.163687589142665,0.072376523127942,1.0,1,1
6,6,mp-10616,BaLiAs,10.06389141802893,9.217500906453877,9.243005929732991,9.257536391796584,9.26707353991728,9.27381327002692,9.278828738701234,9.282706496898102,0.072376523127942,1.0,0,1
7,7,mp-772290,LiAgO,11.794622412456038,10.06246091731076,10.1169054406607,10.148294518614138,10.169042464434837,10.18377383055996,10.19477339576796,10.203299380525443,0.072376523127942,1.0,1,1
8,8,mp-20187,LiInSe2,9.683125339742231,8.021622270644182,8.065521781394537,8.090636970435979,8.10716312153426,8.118861810582377,8.127578304663697,8.13432383867749,0.072376523127942,1.0,0,0
9,9,mp-2530,Li2Te,8.501123406896761,7.790501374312305,7.808480634091381,7.818781168051904,7.82556528193675,7.830370807803827,7.833953058809281,7.836726336701667,0.072376523127942,1.0,0,0
10,10,mp-20782,LiInTe2,9.1968256409352,7.583127007348205,7.623591555272823,7.646746629605329,7.661985273349093,7.672773724862887,7.680812681586549,7.687034285608329,0.072376523127942,1.0,0,0
11,11,mp-552663,LiScAs2O7,6.822310138201148,3.491699410934564,3.5366462923673545,3.562902805489234,3.580401725525991,3.592897446159397,3.6022669911834058,3.609552940690575,1.803922130616544,1.0,2,0
12,12,mp-5061,Li5ReO6,10.635245512195649,9.319409837674936,9.357797888773616,9.379937754217242,9.394576400095236,9.404972540713093,9.412736572667674,9.418755559982474,0.072376523127942,1.0,0,1
13,13,mp-28994,KLi2As,9.796321649480287,8.296408624159822,8.336420503295987,8.35942101235553,8.374599313971578,8.385364856251813,8.39339739902871,8.399620275530216,0.072376523127942,1.0,0,1
14,14,mp-11175,LiZnPS4,9.718315835394426,7.703983524695923,7.754375666801161,7.783367310957945,7.802508743954574,7.816089775274417,7.826225501611204,7.834079166904014,0.072376523127942,1.0,0,0
15,15,mp-976280,LiBr,8.911021443519491,7.023276055644225,7.066931444049243,7.092002371988504,7.108537914639163,7.120261926770689,7.129007426355382,7.135781380991228,0.072376523127942,1.0,0,0
16,16,mp-770932,LiSbO3,10.845467948219346,9.704217267590256,9.739062388164008,9.759099328278872,9.772323867989652,9.781704372992534,9.788703788972551,9.794126429278531,0.072376523127942,1.0,0,1
17,17,mp-961684,LiCaAs,8.079093151884145,7.388759791496016,7.40531686115203,7.414814782051491,7.42107520235682,7.4255121593081554,7.428820961328434,7.431383308654339,0.072376523127942,1.0,0,0
18,18,mp-1960,Li2O,13.846461956741411,11.82879472109748,11.90326957595717,11.946032158929803,11.974224940742657,11.99420614011092,12.00910575008864,12.020642902792511,0.072376523127942,1.0,1,1
19,19,mp-5853,LiSi2N3,11.42735697281056,10.671063385502183,10.696032660687774,10.710396261560849,10.719878408633514,10.72660525970314,10.731625075276703,10.735514323485669,0.072376523127942,1.0,1,1
20,20,mp-7955,Li3Sb,8.469168372753257,6.384450408252623,6.427385768474906,6.452242078697762,6.468716081165162,6.480435164826819,6.489197964327795,6.495997664188376,0.5657584668586498,1.0,0,0
21,21,mp-9244,LiBC,11.563650014435328,11.006080099820208,11.024925244028257,11.035769933415713,11.04293075001665,11.048011619083727,11.051803590069676,11.054741791174726,0.072376523127942,1.0,1,1
22,22,mp-7610,Li2CaSiO4,13.376931148488351,11.683795642783492,11.74686013013271,11.782844798570878,11.806481815998165,11.823193173637971,11.835632730944194,11.84525236450463,0.072376523127942,1.0,1,1
23,23,mp-2286,Li2Se,9.52495627259185,8.69127738537915,8.714600648147641,8.727961547162744,8.736760436439148,8.742992624189393,8.747638060531004,8.751234226514889,0.072376523127942,1.0,0,1
24,24,mp-6270,Ba2LiReO6,8.57624256399658,7.8924774105455135,7.909316650524564,7.91905888081498,7.925513215753992,7.930103413558697,7.9335350195772545,7.93619746651212,0.072376523127942,1.0,0,0
25,25,mp-755013,Li5TaO5,11.785452334742832,10.472673127006674,10.515712048331771,10.540449739995337,10.5567715547695,10.568346221144267,10.576981216021435,10.583669978904007,0.072376523127942,1.0,1,1
26,26,mp-9562,LiBeAs,8.084953402818725,7.568312946570238,7.58071629144908,7.587865402293468,7.592591228047783,7.59594711938478,7.598453270988866,7.600396122147381,0.072376523127942,1.0,0,0
27,27,mp-29754,SrLiN,11.947988524601062,9.725745384142368,9.79359304611205,9.8327544271981,9.858657366298694,9.877057189228816,9.890800357514657,9.901455557367822,0.072376523127942,1.0,1,1
